,ASM,Area,Centroid_x,Centroid_y,Contrast,Dissimilarity,Eccentricity,Energy,Homogeneity,Max intensity,Mean intensity,Min intensity,Orientation,Perimeter,Relative intensity,Solidity,StdDev intensity,Texture correlation
P_00001_LEFT_CC,0.983,120561.0,0.5492295716637311,0.14699945084771024,0.0028,0.0016,0.5356256573900678,0.9914,0.9994,199.01167315175098,141.6415464254545,88.32684824902724,-1.4469041009650763,2917.2947314527273,0.7804379339284352,0.8270802033382041,12.9682,0.9712
P_00001_LEFT_MLO,0.9947,32198.0,0.6452806074911486,0.14149500511518712,0.002,0.0008,0.31679580725332157,0.9973,0.9997,195.4980544747082,168.82050640939346,126.96108949416343,-1.1437016462398586,1177.1595590351833,0.7666590371557184,0.8199760613237579,8.4965,0.9539
P_00004_LEFT_CC,0.9858,113289.0,0.6756770254848804,0.5402579655726051,0.0036,0.0015,0.3770100305218835,0.9929,0.9995,195.66926070038912,162.29081461815593,122.26459143968872,1.3300216861782808,2614.29072683937,0.767330434119173,0.8531954632404994,13.4881,0.9683
P_00004_LEFT_MLO,0.9889,89475.0,0.5914584341803644,0.6053539827148847,0.0035,0.0017,0.3843641139949499,0.9944,0.9993,189.0466926070039,150.49221283253047,122.75486381322958,0.7610708550866443,2816.622725301585,0.7413595788509957,0.7994406819034685,11.0086,0.9576
P_00004_RIGHT_CC,0.9857,108026.0,0.48582685883747684,0.3539102588472966,0.0028,0.0011,0.5969016724439621,0.9928,0.9996,212.9182879377432,182.44555072164857,139.10116731517508,-0.32489620174413447,2079.655121145938,0.8349736781872282,0.9052938563778524,15.272,0.977
P_00004_RIGHT_MLO,0.9882,91758.0,0.7237109420582449,0.31412334757845733,0.0029,0.0012,0.6015350596099653,0.9941,0.9996,218.39688715953307,179.33700073692404,128.55642023346303,-0.028950938522617087,2268.384089227822,0.8564583810177767,0.8373837575403598,13.6064,0.9685
P_00009_RIGHT_CC,0.9955,21007.0,0.5136847458455935,0.26482481921904805,0.0023,0.0008,0.4649110570637035,0.9977,0.9998,189.20522171697135,171.59849150728226,137.66747032074952,0.4284948192065701,897.222438151586,0.7419812616351817,0.7801173499702911,7.9459,0.9414
P_00009_RIGHT_MLO,0.9955,29291.0,0.5083520843915157,0.26148308096340955,0.0015,0.0006,0.6643592318292548,0.9978,0.9998,173.61702127659575,146.1077907163409,108.51063829787235,-1.402066942577655,1088.0458146424487,0.6808510638297872,0.8670850478079394,6.7809,0.9581
P_00015_LEFT_MLO,0.9962,40488.0,0.43968000071320096,0.18070120776526377,0.0009,0.0006,0.47514318942759776,0.9981,0.9997,211.96973134134882,158.1311228215883,120.90538613604693,0.20882990236275828,1121.8164132846757,0.8312538483974463,0.8946042688585444,6.7622,0.963
P_00016_LEFT_CC,0.9794,74597.0,0.6877572028889116,0.8114237338367865,0.0036,0.0016,0.6052686877769157,0.9896,0.9994,195.99610894941637,158.547832819348,95.36964980544747,0.7459009167655114,1426.0945878777277,0.7686121919584955,0.8968680492936579,15.9818,0.9764
P_00016_LEFT_MLO,0.9898,54023.0,0.6957180324791548,0.8875294868836507,0.0043,0.0014,0.5861183109787976,0.9949,0.9996,220.76653696498056,199.28494247766352,165.09727626459144,1.3759204000064265,1991.16060505571,0.8657511253528649,0.7762929114396977,13.9273,0.9512
P_00017_LEFT_CC,0.998,18046.0,0.6514727719315317,0.10377124778344232,0.001,0.0003,0.4890298356033025,0.999,0.9999,169.0272373540856,143.2112957332127,117.7976653696498,-1.419940866630578,771.5361466505706,0.6628519111924925,0.8529161546459968,4.4323,0.9441
P_00017_LEFT_MLO,0.9978,20833.0,0.6570481659964623,0.08740450109731587,0.0009,0.0004,0.25278714382500994,0.9989,0.9998,176.3929961089494,141.78156755566457,114.54085603112841,-0.7296024483696564,1025.1869042456533,0.6917372396429389,0.7992710531363898,4.5892,0.9451
P_00018_RIGHT_CC,0.991,53250.0,0.322684773613432,0.7981545952702801,0.002,0.0009,0.6148528985487695,0.9955,0.9997,185.90272373540856,157.56107765660107,104.08949416342412,0.19399186962962076,1260.1889962867062,0.7290302891584649,0.9012744782763231,10.4437,0.9715
P_00018_RIGHT_MLO,0.9931,39435.0,0.4877130788859188,0.6330970955309789,0.0025,0.0009,0.44703007586395477,0.9965,0.9997,180.5058365758755,153.65872985097383,120.62256809338521,0.7372331869253225,1239.0479066835019,0.707866025787747,0.8786960493772142,8.8549,0.9576
P_00021_LEFT_CC,0.994,37090.0,0.29068921473937837,0.3437003220640386,0.002,0.001,0.7212939416284023,0.997,0.9996,157.80155642023348,124.8275460993503,86.86770428015565,0.5917741114188951,1451.6164491784255,0.6188296330205234,0.8251023313756897,6.6953,0.9541
P_00021_LEFT_MLO,0.995,31033.0,0.49698458236853854,0.5415932643993389,0.0013,0.0008,0.6343744281296849,0.9975,0.9997,162.25680933852138,110.32143252551163,51.57587548638132,-0.5261973314815946,1308.6986642785844,0.6363012130922407,0.7805865781265721,5.4699,0.9464
P_00021_RIGHT_CC,0.9973,16906.0,0.4910816878037684,0.5983300624755531,0.001,0.0004,0.4083899966655882,0.9986,0.9999,170.44601938770296,144.1775897673274,105.88471301770107,-0.005164308886064577,618.8132752230962,0.6684157623047174,0.9250383015977238,5.194,0.9507
P_00021_RIGHT_MLO,0.9938,45402.0,0.45298060712029253,0.4312014933516018,0.0008,0.0006,0.6344131187079746,0.9969,0.9997,174.9989280118743,68.37110636037751,13.890739671806712,1.2584519423988385,1441.6519830843583,0.6862703059289189,0.8431354342699029,4.3246,0.9289
P_00023_RIGHT_CC,0.9963,31428.0,0.4891789964797592,0.437128250174073,0.001,0.0006,0.4365932214945991,0.9982,0.9997,156.7572557756279,120.72496742565698,97.26996673482466,1.3676110629580625,1262.2112908632926,0.6147343363750114,0.8146400891676819,5.0353,0.9605
P_00023_RIGHT_MLO,0.9971,26687.0,0.5596735363806011,0.7352677933349709,0.0007,0.0005,0.5803608582079111,0.9986,0.9998,128.29767754142887,86.47958696756791,54.26931058687094,-0.8480933551002628,1108.8559518039654,0.5031281472212897,0.795629360205116,3.2152,0.9478
P_00026_LEFT_CC,0.9973,29861.0,0.5749332679530278,0.6548544453962818,0.0011,0.0004,0.4495606950404403,0.9986,0.9999,161.99221789883268,141.09943868327923,112.12451361867704,1.5204667089147361,1136.0174234114525,0.6352635996032654,0.8705577096877642,5.0952,0.9506
P_00026_LEFT_MLO,0.997,32931.0,0.6295329342646616,0.6247373907797855,0.0013,0.0004,0.4643704378095385,0.9985,0.9999,183.0817120622568,165.8702889794213,142.61867704280155,0.10855078728181396,1252.1301217836608,0.71796749828336,0.8692587899904973,6.2991,0.9481
P_00027_RIGHT_CC,0.9941,63648.0,0.5925540886169727,0.7798873284975258,0.0017,0.0006,0.3792482418993574,0.9971,0.9998,177.93385214007782,152.16787662885167,120.79377431906615,1.5498954093162862,1639.2154749453987,0.6977798123140306,0.8694606852084585,8.1151,0.9662
P_00027_RIGHT_MLO,0.9906,101719.0,0.44314988558068913,0.6808467915260084,0.0019,0.0008,0.40268017775580306,0.9953,0.9997,180.5058365758755,153.9796232720622,119.3385214007782,0.047945190884821284,1954.7556262093262,0.707866025787747,0.90178017340733,10.4272,0.9763
P_00032_RIGHT_CC,0.9891,71313.0,0.38774642257803305,0.7671733773993008,0.0032,0.0011,0.6588975043879898,0.9945,0.9997,255.0,228.27582909621728,175.9454515671071,0.9161408533447398,1857.9494936611666,1.003213672716649,0.8654490291262136,16.573,0.9656
P_00032_RIGHT_MLO,0.9855,98578.0,0.448844319975733,0.5905942023845652,0.0031,0.0012,0.4455991311164807,0.9927,0.9996,219.77431906614788,193.85789194722497,145.70817120622567,-0.03912744284052004,1987.0804819966042,0.8618600747692073,0.8737247950365611,16.3121,0.9744
P_00033_LEFT_CC,0.9984,12986.0,0.6338447975704079,0.5362834590620696,0.0008,0.0004,0.8115266028736128,0.9992,0.9998,94.30739299610896,74.55244768235892,57.3579766536965,0.23992212423527107,714.819371877506,0.3698329137102312,0.8065838509316771,2.0242,0.9286
P_00033_LEFT_MLO,0.9977,21500.0,0.7733409172726617,0.6196778155938596,0.0009,0.0006,0.6759649576179682,0.9989,0.9998,56.37743190661478,37.487774862003434,1.0350194552529184,0.8388976711787992,1083.7442994522837,0.22108796826123445,0.8167451755052424,1.2682,0.9214
P_00034_RIGHT_CC,0.99,107079.0,0.22635150778252203,0.30156623102702934,0.0021,0.0009,0.485539563507918,0.995,0.9997,230.3307392996109,195.20425568191172,137.71206225680933,0.5706309842348928,2215.417531092702,0.9032578011749447,0.8628166698897699,13.6563,0.973
P_00034_RIGHT_MLO,0.9928,84021.0,0.3209257893716964,0.5543656581248779,0.0018,0.0009,0.330334219030911,0.9964,0.9997,184.06225680933852,135.94445227862946,62.34241245136187,-1.5475765985097145,2457.053136786134,0.7218127718013275,0.8205977146205684,8.0541,0.961
P_00035_RIGHT_CC,0.9908,92451.0,0.4936074806147194,0.27820513150122445,0.0017,0.0007,0.6148921135671811,0.9954,0.9998,213.40856031128405,185.3403546150244,143.8443579766537,0.030579646259152327,1419.5037508062176,0.836896314946212,0.9704002267216677,12.4566,0.9785
P_00035_RIGHT_MLO,0.9926,76697.0,0.3574628163259052,0.43275501812200123,0.0012,0.0005,0.29986425669403294,0.9963,0.9998,209.97665369649803,174.2053811326586,128.88326848249028,0.16582311728880345,1259.0540033379116,0.8234378576333257,0.9685309828385256,10.509,0.9793
P_00037_RIGHT_CC,0.9881,78747.0,0.33552657440301076,0.6282069298327839,0.0021,0.0012,0.687601943369034,0.994,0.9995,181.19066147859922,123.53147090428347,32.47081712062256,-1.4471029974400793,1833.559666716433,0.7105516136415656,0.8446258299100105,9.7064,0.9684
P_00037_RIGHT_MLO,0.9801,132925.0,0.5042304417191441,0.5255248373348297,0.0035,0.0013,0.5763020501056155,0.99,0.9995,216.82879377431905,188.81630614379102,95.09338521400778,-0.7552667922026258,2100.081528017131,0.8503089951934081,0.9101210527757237,18.6608,0.9791
P_00039_RIGHT_CC,0.9763,148938.0,0.7195009352220547,0.49118143288804256,0.0024,0.0015,0.5345862086122953,0.9881,0.9993,225.22568093385215,171.35433925369307,43.264591439688715,1.36717199456518,2160.8601358860715,0.883237964446479,0.9325469128613558,18.8374,0.9849
P_00039_RIGHT_MLO,0.9799,128901.0,0.8045726969679398,0.6498989422170862,0.0023,0.0014,0.3478736477524554,0.9899,0.9994,198.58365758754863,149.56749116754975,52.260700389105054,0.48625105319262746,1960.234810929155,0.7787594415197986,0.9328619606594393,15.036,0.9829
P_00041_LEFT_CC,0.9986,14438.0,0.22036423470158395,0.43095835343034417,0.0004,0.0002,0.6871340720187289,0.9993,0.9999,130.90272373540856,102.68479956966134,73.42023346303502,-0.34874668232495043,709.7432534317572,0.513344014648661,0.8494440195328588,2.6103,0.9554
P_00041_LEFT_MLO,0.9985,15565.0,0.45130219818112854,0.445715110380296,0.0008,0.0003,0.5753475841384339,0.9993,0.9999,138.52918287937743,119.21789383294107,91.92217898832685,-0.9213269076769312,758.636651713959,0.543251697566186,0.824941700233199,3.1139,0.9354
P_00044_RIGHT_CC,0.9659,231320.0,0.6346808207295285,0.6211461961293561,0.0057,0.0031,0.9826840603506803,0.9828,0.9987,234.89426390108775,159.9248765370247,0.0,-0.9027728147394319,5361.45151136383,0.9211539760826971,0.1589005827224811,22.0602,0.9719
P_00044_RIGHT_MLO,0.9561,315946.0,0.6180277456036096,0.567991528145162,0.0051,0.0031,0.985239415665442,0.9778,0.9986,224.62645914396887,131.5878955057606,6.428015564202335,0.37870751045805545,5705.569260369921,0.8808880750743877,0.32932344777194417,20.6887,0.9701
P_00045_LEFT_CC,0.9935,54029.0,0.5452300535944195,0.8028691266816572,0.0021,0.0009,0.6265899654216635,0.9967,0.9997,212.0194552529183,179.5259831278101,112.61867704280155,0.7875525295747586,1902.061146012848,0.8314488441290914,0.7447447861386411,10.0608,0.9574
P_00045_LEFT_MLO,0.9957,38028.0,0.454918317143727,0.7227838150620526,0.0013,0.0005,0.2607483045366973,0.9978,0.9998,216.10505836575877,180.6695553839297,141.96498054474708,1.4142717787156294,1130.5382386916237,0.8474708171206226,0.9063781104013728,8.2682,0.9644
P_00051_LEFT_CC,0.9654,244392.0,0.49523746355108544,0.5208126608707895,0.0043,0.0026,0.6133256233194675,0.9825,0.9989,196.61089494163426,119.99968631756114,0.0,-1.3414427069288881,4269.797436238418,0.7710231174181735,0.7963712436702055,19.0763,0.9791
P_00051_LEFT_MLO,0.9649,246714.0,0.7167578698632513,0.5548085826943198,0.005,0.0027,0.793540308279691,0.9823,0.9989,207.23346303501947,125.02556283052932,0.5992217898832685,-1.5480830297554038,4186.784196909071,0.8126802471961547,0.8357067367622351,19.6055,0.9745
P_00053_LEFT_CC,0.9977,27617.0,0.8054583874240396,0.6770035590059166,0.0008,0.0003,0.5351531225871459,0.9989,0.9999,169.1828793774319,142.63228451882608,87.03112840466926,0.34859242762354054,1006.9341622907672,0.6634622720683604,0.8801389508572885,4.7246,0.9527
P_00053_LEFT_MLO,0.9981,24534.0,0.7408377079392957,0.7352552392252267,0.0009,0.0003,0.6037678458846578,0.999,0.9999,200.00389105058366,181.99160095146289,159.78210116731518,0.4683457363504851,930.430590953299,0.7843289845120928,0.8571428571428571,5.4971,0.9469
P_00054_RIGHT_MLO,0.9944,35290.0,0.6606277819432916,0.8980098848290291,0.0025,0.0009,0.6326703222848552,0.9972,0.9997,160.9727626459144,143.37266804343776,106.40077821011674,1.0311366215497766,1351.710857587404,0.631265735866331,0.8520244332311259,7.4184,0.9475
P_00055_LEFT_CC,0.9859,112872.0,0.5162594721322138,0.37417201197393507,0.0034,0.0015,0.4768750349819931,0.9929,0.9994,142.5408560311284,114.94680603737493,89.0272373540856,-1.3495455989537652,2636.108006675823,0.55898374914168,0.8936321819059909,9.5367,0.9677
P_00055_LEFT_MLO,0.9919,64504.0,0.7456652169954405,0.262635994227513,0.0017,0.0009,0.5279950678991611,0.9959,0.9996,185.6964980544747,137.9740372026517,71.04669260700389,-0.8616302433415598,1905.925107043527,0.72822156099794,0.8151752202100367,8.7007,0.9662
P_00056_LEFT_MLO,0.993,42977.0,0.7112077541887308,0.18282218820674567,0.0012,0.0008,0.6416921050521157,0.9965,0.9996,220.72608086469177,135.30816081419943,41.39411529223379,-0.33078797363748447,1264.644840409422,0.8655924739791834,0.8529890441409972,8.1008,0.9574
P_00057_RIGHT_CC,0.9939,35508.0,0.6893200480104619,0.5492405060421565,0.0023,0.0012,0.4844244441337766,0.9969,0.9995,156.43190661478602,126.21875094514789,100.06225680933852,0.13245029691270344,1499.2844507162113,0.6134584573128863,0.7170436187399031,6.8089,0.9486
P_00057_RIGHT_MLO,0.9936,38333.0,0.5904621386681091,0.5500473073549115,0.002,0.0011,0.5934763082391215,0.9968,0.9995,150.86381322957197,118.27480340465148,87.8988326848249,0.29215806536050093,1468.0062761231593,0.5916227969787137,0.8234447499570373,6.5329,0.9547
P_00058_RIGHT_CC,0.9916,95330.0,0.27304309127419774,0.39414934526970863,0.0014,0.0009,0.6132998506039055,0.9958,0.9996,157.24193118164843,113.70734950628606,73.93971725793544,-1.4799708190197194,1973.7139956489839,0.6166350242417585,0.8555991347974762,7.2852,0.971
P_00058_RIGHT_MLO,0.9948,89322.0,0.46670813985416965,0.501001293210072,0.001,0.0006,0.5876941268479997,0.9974,0.9997,167.63035019455253,123.29422496860698,77.71206225680935,1.5390361176724872,2116.7434329005064,0.6573739223315785,0.8598658054082153,6.2326,0.9689
P_00059_LEFT_CC,0.9955,42157.0,0.49773909353627366,0.34671990238259665,0.0015,0.0005,0.4404976208238435,0.9977,0.9998,181.8443579766537,156.80554826136762,131.579766536965,-0.04315743001068535,1193.224530192639,0.7131151293202106,0.8771926174077697,7.3157,0.961
P_00059_LEFT_MLO,0.9951,44484.0,0.6586952345053081,0.33807076156923166,0.0015,0.0006,0.6260232352595199,0.9975,0.9998,181.50194552529183,153.02913686974236,125.5875486381323,0.0854069316843827,1145.7981233214462,0.7117723353933013,0.8880105401844532,7.4772,0.963
P_00061_RIGHT_CC,0.9976,24557.0,0.42051865438549824,0.7317834768947862,0.0013,0.0005,0.4830654331520599,0.9988,0.9998,149.92217898832686,124.17682976586356,96.71984435797665,-1.3047457502304305,1113.288455329568,0.5879301136797132,0.8067345597897503,4.2148,0.9337
P_00061_RIGHT_MLO,0.9956,46264.0,0.4585907344822779,0.5610574744942072,0.0012,0.0006,0.6472564608554063,0.9978,0.9998,160.8871595330739,130.5365082884155,78.47470817120623,-0.8578330781180769,1455.4682169002847,0.6309300373846036,0.8535005995756849,6.0396,0.9653
P_00064_RIGHT_MLO,0.9724,175390.0,0.3691216404444031,0.7523335384452341,0.0062,0.0024,0.5680190845147596,0.9861,0.9992,204.91988149990996,176.6245442913772,117.99024502021376,-0.30245909607822136,3512.6664479029805,0.8036073784310195,0.8571582167746729,20.5064,0.973
P_00065_LEFT_CC,0.9909,79149.0,0.475087340263824,0.44879827356236884,0.0022,0.0008,0.47720615771175684,0.9955,0.9997,194.77431906614785,166.391211610786,131.8365758754864,-0.2583008271783512,1696.481456229631,0.7638208590829327,0.8918096697502,11.0525,0.9715
P_00065_LEFT_MLO,0.9885,91519.0,0.38699986371267103,0.6553916407312924,0.0018,0.0009,0.5280771342500739,0.9942,0.9996,209.92996108949416,139.99258574998544,49.295719844357976,1.4226017178963375,1890.1332598452402,0.8232547493705653,0.8867346839907373,10.7654,0.9693
P_00066_LEFT_CC,0.9927,31944.0,0.5545674822918963,0.8851948852772972,0.0016,0.001,0.5079418596092068,0.9964,0.9996,172.75862068965517,110.93830638120494,69.3439865433137,0.1236179872281973,1203.7981233214462,0.6774847870182555,0.8017066131258627,6.5681,0.9425
P_00066_LEFT_MLO,0.9906,62399.0,0.8308610056148085,0.7405076634130673,0.0016,0.0011,0.8308669328406679,0.9953,0.9995,152.67937253944515,85.63226746461224,0.0,0.5060408213694406,1800.3433252192567,0.5987426374095889,0.8135250710542098,6.5942,0.9595
P_00067_LEFT_CC,0.9443,359858.0,0.46896211084647715,0.22185433370435512,0.006,0.0036,0.3884300020601658,0.9718,0.9984,228.7354085603113,165.19898215147683,57.91439688715953,1.0788694800314227,5177.03921037376,0.8970016021972992,0.8259951430683138,27.61,0.983
P_00067_LEFT_MLO,0.9667,201088.0,0.4511740695649451,0.3994886740281476,0.0048,0.0026,0.6517132137218804,0.9832,0.9989,225.73929961089493,173.4576926229483,92.6964980544747,0.8144975250399507,3519.648157939751,0.8852521553368429,0.7994243483169742,22.2828,0.9786
P_00067_RIGHT_CC,0.9765,152485.0,0.504246825262054,0.41396048423742593,0.0029,0.0017,0.7639486164054884,0.9882,0.9993,219.2295719844358,138.25753967762856,0.9455252918287937,-1.2701066905341964,2238.96064094946,0.8597238117036698,0.9138170747785649,17.2306,0.979
P_00067_RIGHT_MLO,0.9706,190272.0,0.6327008797117378,0.3564374041150331,0.0039,0.0021,0.4608311647703775,0.9852,0.9991,234.6498054474708,154.09685246007848,1.5447470817120623,1.2993224299667319,3015.913093203457,0.9201953154802777,0.8695564746475333,21.0642,0.9789
P_00068_RIGHT_CC,0.986,100775.0,0.2771153763184816,0.9300333683383827,0.0031,0.0013,0.8326447781906517,0.993,0.9995,215.2023346303502,176.98766400860256,98.09338521400778,1.2590237709995105,2214.5119395016804,0.843930724040589,0.8548222919670879,14.698,0.9704
P_00068_RIGHT_MLO,0.9898,73731.0,0.21869675034249486,0.6792039125482164,0.0018,0.0012,0.7513793270828343,0.9949,0.9995,169.0272373540856,120.96780783779843,63.65369649805447,-0.31466649655084705,2046.6835123769342,0.6628519111924925,0.8268124474348192,8.5959,0.9709
P_00069_LEFT_CC,0.9833,110281.0,0.5602557058058832,0.22137772264759784,0.0022,0.0015,0.49553692184853615,0.9916,0.9993,209.89105058365757,136.63489454618178,57.4863813229572,-0.40571564487896605,2306.442963730868,0.8231021591515983,0.8469342303320738,12.5347,0.9725
P_00069_LEFT_MLO,0.9866,88397.0,0.4553487789261338,0.32511490071277166,0.0034,0.0011,0.3890002065546441,0.9933,0.9997,217.59922178988327,201.74321680811306,170.56809338521398,1.3499608160178185,1908.179941039466,0.853330281528954,0.8802027323057314,16.2689,0.9708
P_00073_RIGHT_CC,0.9765,229371.0,0.7509922895927158,0.3411004302986409,0.0029,0.0019,0.31395705667750035,0.9882,0.9992,205.07003891050584,139.6183439715451,67.3307392996109,0.45347809074976564,3872.3689373261723,0.8041962310215915,0.8499408968121334,15.1553,0.9759
